id,search_path,ref_path,center_x,center_y,pattern,landmark,pred_x,pred_y,euclidean_error_px,latency_ms
0,val/search/000000.png,val/reference/000000.png,468.68039552063897,317.74750882955163,via_array,missing_contact,468.6858,317.6343,0.1134,88.93
1,val/search/000001.png,val/reference/000001.png,607.4268153173921,365.0264758025496,finfet,gate_break,607.713,364.9991,0.2875,63.03
2,val/search/000002.png,val/reference/000002.png,733.5090432673398,575.2947312438366,via_array,missing_contact,733.46,575.3816,0.0998,89.02
3,val/search/000003.png,val/reference/000003.png,906.3341269697232,157.16716543382813,via_array,missing_contact,906.4775,157.2498,0.1655,62.34
4,val/search/000004.png,val/reference/000004.png,534.0626911418019,190.8873902675665,dram_grid,missing_contact,534.0368,190.852,0.0439,115.57
5,val/search/000005.png,val/reference/000005.png,862.3362166621226,757.4251994387205,dram_grid,missing_contact,78.5372,857.9994,790.2253,91.6
6,val/search/000006.png,val/reference/000006.png,657.4224843271627,459.2880648937105,dram_grid,cut_wordline,657.3997,459.2908,0.0229,90.43
7,val/search/000007.png,val/reference/000007.png,597.1120760217512,590.3108100901258,via_array,missing_contact,597.2251,590.5357,0.2517,49.58
8,val/search/000008.png,val/reference/000008.png,709.2489878999417,707.289176734065,via_array,missing_contact,709.1933,707.4831,0.2018,60.41
9,val/search/000009.png,val/reference/000009.png,156.99911068160893,883.254477551599,dram_grid,missing_contact,157.0081,883.4577,0.2034,77.97
10,val/search/000010.png,val/reference/000010.png,873.723127632542,115.79476764086594,dram_grid,cut_wordline,83.2201,794.5053,1041.8939,75.91
11,val/search/000011.png,val/reference/000011.png,445.84320945685135,930.0,via_array,missing_contact,445.8287,930.6321,0.6323,145.79
12,val/search/000012.png,val/reference/000012.png,708.3433679600518,467.0476820194344,dram_grid,cut_wordline,760.1479,931.5795,467.4115,77.54
13,val/search/000013.png,val/reference/000013.png,219.37263076744895,735.0074841853142,finfet,gate_break,219.3096,734.9779,0.0696,58.58
14,val/search/000014.png,val/reference/000014.png,760.9687560418636,440.1994145608105,dram_grid,missing_contact,761.0099,440.109,0.0994,83.35
15,val/search/000015.png,val/reference/000015.png,167.32713912162538,685.7506914688605,dram_grid,missing_contact,167.2504,685.6422,0.1329,69.12
16,val/search/000016.png,val/reference/000016.png,579.3838954648144,653.4630437543912,dram_grid,cut_wordline,453.9777,549.0064,163.2112,93.73
17,val/search/000017.png,val/reference/000017.png,347.40934257404814,175.68870079208511,via_array,missing_contact,347.4102,175.612,0.0767,101.28
18,val/search/000018.png,val/reference/000018.png,124.08474745223084,572.0894552954229,dram_grid,cut_wordline,285.6241,274.5554,338.558,94.78
19,val/search/000019.png,val/reference/000019.png,574.6764033454956,839.5019881408438,finfet,gate_break,574.726,839.4096,0.1048,121.44
20,val/search/000020.png,val/reference/000020.png,521.1350682029056,375.19812217163576,finfet,gate_break,520.9924,375.0305,0.2201,111.69
21,val/search/000021.png,val/reference/000021.png,359.2324687381793,542.8615353427111,via_array,missing_contact,359.3818,542.7432,0.1905,62.55
22,val/search/000022.png,val/reference/000022.png,807.7138428658188,781.5989814243434,via_array,missing_contact,807.4719,781.5975,0.2419,78.63
23,val/search/000023.png,val/reference/000023.png,814.55248678861,115.25725160409436,via_array,missing_contact,814.4881,115.4447,0.1982,52.95
24,val/search/000024.png,val/reference/000024.png,836.4264078317156,760.37386188722,via_array,missing_contact,836.5123,760.3809,0.0862,101.87
25,val/search/000025.png,val/reference/000025.png,273.0545699974704,135.55722881562036,finfet,gate_break,272.9414,135.495,0.1292,204.74
